complicated_sentence,simplified_sentence,difficult_word,easy_word,meaning_of_difficult_word
James Rodriguez and Jorge Carrascal scored in the second half to level the scores.,James Carrascal and Jorge Carrascal scored in the second half of the score.,level,,a position on a scale of intensity or amount or quality
Jurgen Klinsmanns first game in charge of South Korea was in Ulsan.,Jurgen Klinsmanns first game was in charge of South Korea.,Ulsan,,
A parole board is to decide whether the 36-year-old should be let out early.,A group of people is to decide whether the 36-year-old should be let out early.,parole,,a promise
A parole board is to decide whether the 36-year-old should be let out early.,A group of people is to decide whether the 36-year-old should be let out early.,board,group,a committee having supervisory powers
Known worldwide as the Blade Runner because of his carbon-fibre prosthetics.,Known around the world as the Blade Runner because of his carbon-fibre prosthetics.,worldwide,,spanning or extending throughout the entire world
"Ahmad Danial Mohamed Rafaee, 38, had sought a discharge amounting to an acquittal.","Ahmad Danial Mohamed Rafaee, 38, had to leave the country because of an acquittal.",sought,leave,try to get or reach
"Ahmad Danial Mohamed Rafaee, 38, had sought a discharge amounting to an acquittal.","Ahmad Danial Mohamed Rafaee, 38, had to leave the country because of an acquittal.",discharge,country,the sudden giving off of energy
"Ahmad Danial Mohamed Rafaee, 38, had sought a discharge amounting to an acquittal.","Ahmad Danial Mohamed Rafaee, 38, had to leave the country because of an acquittal.",amounting,,be tantamount or equivalent to
This would have completely cleared him of the charge without a trial.,This would have made him a part of the charge without a trial.,completely,,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')
This would have completely cleared him of the charge without a trial.,This would have made him a part of the charge without a trial.,cleared,,rid of obstructions
"Ms Teo went missing in 2007, when she was 19.","She went missing in 2007, when she was 19.",Ms,,a chronic progressive nervous disorder involving loss of myelin sheath around certain nerve fibers
"Ms Teo went missing in 2007, when she was 19.","She went missing in 2007, when she was 19.",Teo,,
Construction of the Jurong Region Line (JRL) moved up a gear on Friday.,Construction of the Jurong Region Line (JRL) was built on Friday.,moved,built,"change location; move, travel, or proceed, also metaphorically"
Construction of the Jurong Region Line (JRL) moved up a gear on Friday.,Construction of the Jurong Region Line (JRL) was built on Friday.,gear,,a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion
The official ground-breaking and launch of the track viaduct in the Tengah area was held.,The official ground-breaking and start of the track throughduct in the Tengah area was held.,launch,start,a motorboat with an open deck or a half deck
The official ground-breaking and launch of the track viaduct in the Tengah area was held.,The official ground-breaking and start of the track throughduct in the Tengah area was held.,viaduct,,bridge consisting of a series of arches supported by piers used to carry a road (or railroad) over a valley
"The 24km-long MRT line has 24 stations, with three interchanges.","The 24km-long MRT line has 24 stations, with three different stations.",interchanges,stations,a junction of highways on different levels that permits traffic to move from one to another without crossing traffic streams
The JRL is expected to significantly improve connectivity in the western part of Singapore.,The JRL is expected to improve connectivity in the western part of Singapore.,significantly,,in a statistically significant way
Report wrongly said Russian troops had left town of Nova Kahkovka in southern Kherson region.,Russian troops had left town of Nova Kahkovka in the southern part of Kherson region.,Report,,a written document describing the findings of some individual or group
Report wrongly said Russian troops had left town of Nova Kahkovka in southern Kherson region.,Russian troops had left town of Nova Kahkovka in the southern part of Kherson region.,wrongly,,without justice or fairness; - Shakespeare
Report wrongly said Russian troops had left town of Nova Kahkovka in southern Kherson region.,Russian troops had left town of Nova Kahkovka in the southern part of Kherson region.,said,,express in words
"General staff of the armed forces, in a rare retraction, said Russians remained in the town on the east bank of the Dnipro River.","General staff of the armed forces, in a long time after the war, the Russians remained in the town on the east bank of the Dnipro River.",rare,long,not widely known; especially valued for its uncommonness
"General staff of the armed forces, in a rare retraction, said Russians remained in the town on the east bank of the Dnipro River.","General staff of the armed forces, in a long time after the war, the Russians remained in the town on the east bank of the Dnipro River.",retraction,time,a disavowal or taking back of a previous assertion
"General staff of the armed forces, in a rare retraction, said Russians remained in the town on the east bank of the Dnipro River.","General staff of the armed forces, in a long time after the war, the Russians remained in the town on the east bank of the Dnipro River.",said,,express in words
It said the initial report had been issued as a result of incorrect use of available data but gave no details.,It said the report had been given out as a result of incorrect use of available data but gave no details.,initial,,the first letter of a word (especially a person's name)
It said the initial report had been issued as a result of incorrect use of available data but gave no details.,It said the report had been given out as a result of incorrect use of available data but gave no details.,issued,given,prepare and issue for public distribution or sale
Arsenal and Sporting Lisbon draw 2-2 in their Europa League last 16 first leg clash in Lisbon.,Arsenal and Sporting Lisbon draw 2-2 in their Europa League for the first time in Lisbon.,16,,the cardinal number that is the sum of fifteen and one
Arsenal and Sporting Lisbon draw 2-2 in their Europa League last 16 first leg clash in Lisbon.,Arsenal and Sporting Lisbon draw 2-2 in their Europa League for the first time in Lisbon.,leg,time,a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
Arsenal and Sporting Lisbon draw 2-2 in their Europa League last 16 first leg clash in Lisbon.,Arsenal and Sporting Lisbon draw 2-2 in their Europa League for the first time in Lisbon.,clash,,a loud resonant repeating noise
Hidemasa Moritas own goal sends Premier League leaders back to London with honours even.,Hidemasa Moritas own goal for the Premier League leaders back to London.,sends,,cause to go somewhere
Hidemasa Moritas own goal sends Premier League leaders back to London with honours even.,Hidemasa Moritas own goal for the Premier League leaders back to London.,honours,,a university degree with honors
Jose Mour inhos Roma earn a comfortable 2-0 win at home against Real Sociedad to put one foot into quarter-finals.,Jose Mour inhos Roma won 2-0 win at home against Real Sociedad to put one foot into quarter-finals.,earn,won,earn on some commercial or business transaction; earn as salary or wages
Jose Mour inhos Roma earn a comfortable 2-0 win at home against Real Sociedad to put one foot into quarter-finals.,Jose Mour inhos Roma won 2-0 win at home against Real Sociedad to put one foot into quarter-finals.,comfortable,,providing or experiencing physical well-being or relief (`comfy' is informal)
Bill Gates says it would be better to focus on how best to use the developments in AI.,Bill Gates says it would be better to make how best to use the developments in AI.,focus,,the concentration of attention or energy on something
"The letter was co-signed by Mr Elon Musk and more than 1,000 AI experts.","The letter was written by Mr Elon Musk and more than 1,000 AI experts.",co,,an odorless very poisonous gas that is a product of incomplete combustion of carbon
"The letter was co-signed by Mr Elon Musk and more than 1,000 AI experts.","The letter was written by Mr Elon Musk and more than 1,000 AI experts.",signed,written,mark with one's signature; write one's name (on)
It demanded an urgent pause in the development of systems more powerful than Microsoft-backed OpenAIs new GPT-4.,It wanted to change the development of systems more powerful than Microsoft-backed OpenAIs new GPT-4.,demanded,wanted,request urgently and forcefully
It demanded an urgent pause in the development of systems more powerful than Microsoft-backed OpenAIs new GPT-4.,It wanted to change the development of systems more powerful than Microsoft-backed OpenAIs new GPT-4.,urgent,,compelling immediate action
It demanded an urgent pause in the development of systems more powerful than Microsoft-backed OpenAIs new GPT-4.,It wanted to change the development of systems more powerful than Microsoft-backed OpenAIs new GPT-4.,pause,,a time interval during which there is a temporary cessation of something
"ChatGPT caused a global sensation when it was released in 2022 for its ability to generate essays, songs, exams and even news articles from brief prompts.","ChatGPT caused a global sensation when it was released in 2022. It can be used to make essays, songs, exams and even news articles from brief prompts.",ability,,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
"ChatGPT caused a global sensation when it was released in 2022 for its ability to generate essays, songs, exams and even news articles from brief prompts.","ChatGPT caused a global sensation when it was released in 2022. It can be used to make essays, songs, exams and even news articles from brief prompts.",generate,,bring into existence
Critics have long fretted that it was unclear where ChatGPT and its competitors got their data or how they processed it.,Critics have been found that it was not clear where ChatGPT and the Critics got their data or how they processed it.,long,,desire strongly or persistently
Critics have long fretted that it was unclear where ChatGPT and its competitors got their data or how they processed it.,Critics have been found that it was not clear where ChatGPT and the Critics got their data or how they processed it.,fretted,found,worry unnecessarily or excessively
Critics have long fretted that it was unclear where ChatGPT and its competitors got their data or how they processed it.,Critics have been found that it was not clear where ChatGPT and the Critics got their data or how they processed it.,unclear,clear,poorly stated or described
Critics have long fretted that it was unclear where ChatGPT and its competitors got their data or how they processed it.,Critics have been found that it was not clear where ChatGPT and the Critics got their data or how they processed it.,competitors,Critics,the contestant you hope to defeat
President Halimah Yacob gave her assent to the Governments spending plans for the coming financial year starting on April 1.,President Halimah Yacob gave her a lot of money to the Governments for the coming financial year starting on April 1.,assent,,agreement with a statement or proposal to do something
President Halimah Yacob gave her assent to the Governments spending plans for the coming financial year starting on April 1.,President Halimah Yacob gave her a lot of money to the Governments for the coming financial year starting on April 1.,spending,money,the act of spending or disbursing money
President Halimah Yacob gave her assent to the Governments spending plans for the coming financial year starting on April 1.,President Halimah Yacob gave her a lot of money to the Governments for the coming financial year starting on April 1.,plans,,a series of steps to be carried out or goals to be accomplished
She said that Budget 2023 is balanced and fiscally responsible.,She said that Budget 2023 is balanced and thought to be responsible.,fiscally,,in financial matters
"It provides for the immediate needs of Singaporeans, especially with the rising costs of living, but invests in Singapores future needs.","It provides for the immediate needs of Singaporeans, especially with the new costs of living in Singapores future needs.",rising,,a movement upward
"It provides for the immediate needs of Singaporeans, especially with the rising costs of living, but invests in Singapores future needs.","It provides for the immediate needs of Singaporeans, especially with the new costs of living in Singapores future needs.",invests,,make an investment
Finance Minister Jeremy Hunt announced a plan that he hopes will speed up Britains stagnating economy.,Finance Minister Jeremy Hunt said that he wanted to stop will speed up Britains stagnating economy.,announced,said,make known; make an announcement
Finance Minister Jeremy Hunt announced a plan that he hopes will speed up Britains stagnating economy.,Finance Minister Jeremy Hunt said that he wanted to stop will speed up Britains stagnating economy.,plan,,a series of steps to be carried out or goals to be accomplished
Finance Minister Jeremy Hunt announced a plan that he hopes will speed up Britains stagnating economy.,Finance Minister Jeremy Hunt said that he wanted to stop will speed up Britains stagnating economy.,hopes,wanted,a specific instance of feeling hopeful
This includes childcare and tax reforms to get more people into work and corporate tax breaks to boost low levels of business investment.,This includes childcare and tax changes to get more people into work and corporate tax breaks because of a lot of business investment.,reforms,changes,a change for the better as a result of correcting abuses
This includes childcare and tax reforms to get more people into work and corporate tax breaks to boost low levels of business investment.,This includes childcare and tax changes to get more people into work and corporate tax breaks because of a lot of business investment.,boost,,the act of giving hope or support to someone
This includes childcare and tax reforms to get more people into work and corporate tax breaks to boost low levels of business investment.,This includes childcare and tax changes to get more people into work and corporate tax breaks because of a lot of business investment.,low,,an air mass of lower pressure; often brings precipitation
This includes childcare and tax reforms to get more people into work and corporate tax breaks to boost low levels of business investment.,This includes childcare and tax changes to get more people into work and corporate tax breaks because of a lot of business investment.,levels,,a position on a scale of intensity or amount or quality
Mr Hunt said the worlds sixth-biggest economy was now expected to avoid a recession this year.,Mr Hunt said the worlds sixth-biggest economy was now expected to do this year.,avoid,,stay clear from; keep away from; keep out of the way of someone or something
Mr Hunt said the worlds sixth-biggest economy was now expected to avoid a recession this year.,Mr Hunt said the worlds sixth-biggest economy was now expected to do this year.,recession,,the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
"83% of small companies and 92% of medium-sized firms have an environmental, social and governance (ESG) strategy in place or are creating one.","83% of small companies and 92% of medium-sized firms have a large amount of money, social and governance (ESG) strategy in place.",environmental,large,of or relating to the external conditions or surroundings
"83% of small companies and 92% of medium-sized firms have an environmental, social and governance (ESG) strategy in place or are creating one.","83% of small companies and 92% of medium-sized firms have a large amount of money, social and governance (ESG) strategy in place.",creating,,make or cause to be or to become
But only 37% of these businesses have a clear road map on how to achieve their goals.,But only 37% of these businesses have a clear road map on how to get their goals.,achieve,,to gain with effort
Financial concerns and unclear reporting standards are common barriers.,Financial concerns and problems reporting standards are common barriers.,unclear,,poorly stated or described
There are more than 170 trillion or 2 million tonnes worth of tiny plastic particles floating on the surface of the ocean.,There are more than 170 trillion or 2 million tonnes making it a very small part of the ocean.,worth,,an indefinite quantity of something having a specified value
There are more than 170 trillion or 2 million tonnes worth of tiny plastic particles floating on the surface of the ocean.,There are more than 170 trillion or 2 million tonnes making it a very small part of the ocean.,tiny,small,very small
There are more than 170 trillion or 2 million tonnes worth of tiny plastic particles floating on the surface of the ocean.,There are more than 170 trillion or 2 million tonnes making it a very small part of the ocean.,plastic,,generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
There are more than 170 trillion or 2 million tonnes worth of tiny plastic particles floating on the surface of the ocean.,There are more than 170 trillion or 2 million tonnes making it a very small part of the ocean.,particles,,(nontechnical usage) a tiny piece of anything
There are more than 170 trillion or 2 million tonnes worth of tiny plastic particles floating on the surface of the ocean.,There are more than 170 trillion or 2 million tonnes making it a very small part of the ocean.,floating,making,the act of someone who floats on the water
There are more than 170 trillion or 2 million tonnes worth of tiny plastic particles floating on the surface of the ocean.,There are more than 170 trillion or 2 million tonnes making it a very small part of the ocean.,surface,,the outer boundary of an artifact or a material layer constituting or resembling such a boundary
"Many of them got there after 2004, according to a paper published on Wednesdayin the journal Plos One.","Many of them got there after 2004, according to a paper that was published on Wednesday the journal Plos One.",Wednesdayin,Wednesday,
The report comes just days after negotiators agreed on wording of a landmark United Nationstreaty with the aim ofconserving30 per cent of the Ocean.,The report comes just days after a group of people agreed to see a landmark United Nationstreaty with the aim ofconserving30 per cent of the Ocean.,negotiators,people,someone who negotiates (confers with others in order to reach a settlement)
The report comes just days after negotiators agreed on wording of a landmark United Nationstreaty with the aim ofconserving30 per cent of the Ocean.,The report comes just days after a group of people agreed to see a landmark United Nationstreaty with the aim ofconserving30 per cent of the Ocean.,wording,,the manner in which something is expressed in words; - G.S.Patton
WHO chief Tedros Adhanom Ghebreyesus says all hypotheses are on the table.,WHO chief Tedros Adhanom Ghebreyesus says that there is a table on the table.,hypotheses,table,a proposal intended to explain certain facts or observations
Data from the early days of the Covid-19 pandemic was briefly uploaded by Chinese scientists to an international database in 2023.,Data from the early days of the Covid-19 pandemic was changed by Chinese scientists to make an international database in 2023.,briefly,,for a short time
Data from the early days of the Covid-19 pandemic was briefly uploaded by Chinese scientists to an international database in 2023.,Data from the early days of the Covid-19 pandemic was changed by Chinese scientists to make an international database in 2023.,uploaded,changed,transfer a file or program to a central computer from a smaller computer or a computer at a remote location
Goh Tian Shun threatened to blow up the matter by alerting the media and authorities.,Goh Tian Shun said that it was threatened to blow up the matter by the media.,alerting,said,a state of readiness to respond
Goh Tian Shun threatened to blow up the matter by alerting the media and authorities.,Goh Tian Shun said that it was threatened to blow up the matter by the media.,authorities,,the organization that is the governing authority of a political unit
The incident happened in August 2021 during a period when only fully vaccinated people were allowed to dine-in at restaurants.,The incident happened in August 2021 during a period when only the people were allowed to go to restaurants.,fully,,to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form)
The incident happened in August 2021 during a period when only fully vaccinated people were allowed to dine-in at restaurants.,The incident happened in August 2021 during a period when only the people were allowed to go to restaurants.,vaccinated,,perform vaccinations or produce immunity in by inoculation
The incident happened in August 2021 during a period when only fully vaccinated people were allowed to dine-in at restaurants.,The incident happened in August 2021 during a period when only the people were allowed to go to restaurants.,dine,,have supper; eat dinner
Goh was sentenced to two years and two months jail and one stroke of the cane.,Goh was sent to two years and two months jail and one stroke of the cane.,sentenced,sent,pronounce a sentence on (somebody) in a court of law
Britains data watchdog said on Tuesday that it has fined TikTok 12.7 million (S$21 million) for breaching data protection laws.,Britains data watchdog said on Tuesday that it has said that TikTok 12.7 million (S $21 million) for making data protection.,fined,said,issue a ticket or a fine to as a penalty
Britains data watchdog said on Tuesday that it has fined TikTok 12.7 million (S$21 million) for breaching data protection laws.,Britains data watchdog said on Tuesday that it has said that TikTok 12.7 million (S $21 million) for making data protection.,S$21,S,
Britains data watchdog said on Tuesday that it has fined TikTok 12.7 million (S$21 million) for breaching data protection laws.,Britains data watchdog said on Tuesday that it has said that TikTok 12.7 million (S $21 million) for making data protection.,breaching,making,"act in disregard of laws, rules, contracts, or promises"
Britains data watchdog said on Tuesday that it has fined TikTok 12.7 million (S$21 million) for breaching data protection laws.,Britains data watchdog said on Tuesday that it has said that TikTok 12.7 million (S $21 million) for making data protection.,laws,,the first of three divisions of the Hebrew Scriptures comprising the first five books of the Hebrew Bible considered as a unit
TikTok allowed as many as 1.4 million British children under 13 to use its platform in 2020.,TikTok allowed as many as 1.4 million British children under 13 to use it in 2020.,platform,,a raised horizontal surface
The data breaches occurred between May 2018 and July 2020.,The data happened between May 2018 and July 2020.,breaches,,a failure to perform some promised act or obligation
The data breaches occurred between May 2018 and July 2020.,The data happened between May 2018 and July 2020.,occurred,happened,come to pass
Former US president Donald Trump posted to YouTube and Facebook on Friday.,Former US president Donald Trump posted to YouTube on Friday.,Facebook,,
His return to the platforms gives him access to key vehicles for political fund-raising.,His return to the platforms gives him a good way to work for political fund-raising.,access,way,the right to enter
His return to the platforms gives him access to key vehicles for political fund-raising.,His return to the platforms gives him a good way to work for political fund-raising.,key,good,metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated
His return to the platforms gives him access to key vehicles for political fund-raising.,His return to the platforms gives him a good way to work for political fund-raising.,vehicles,,a conveyance that transports people or objects
Mr Trump powered his improbable 2016 presidential campaign through his use of social media.,Mr Trump powered the 2016 presidential campaign through his use of social media.,improbable,,not likely to be true or to occur or to have occurred
YouTube banned Mr Trump in 2021 for violating its policy of inciting violence.,YouTube banned Mr Trump in 2021 for being allowed to inciting violence.,violating,allowed,fail to agree with; be in violation of; as of rules or patterns
YouTube banned Mr Trump in 2021 for violating its policy of inciting violence.,YouTube banned Mr Trump in 2021 for being allowed to inciting violence.,policy,,a plan of action adopted by an individual or social group
